repository_path	prepatch_sha256	postpatch_sha256	patch_type
scripts/02_differential_expression/run_DE_sensitivity_analyses.R	c4385afe566f82c43ef379c718b0c4748bba3d24e17c8a0cc268cee90169cead	865d4138a8665b971cab2f531edd344c14157b7bfe159e10b367c96b6fc09d29	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/02_differential_expression/run_primary_limma_DE.R	b2e3043267ed8c9c93dbf2c73b2af7fe07f839762105b64142b2f03005f7036a	528738512ab971c85a53f4cba085ad9676be694ffb4137516764585170816d4a	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/audit_gene_set_coverage.R	864a2a3373c1af0ac0461944d6a4a10012609e226d7445ba5661535bd9256ccd	dc7399b2b561761776355e41778f397143c10dff9cb8a54504f45bac6b182d65	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/audit_pathway_robustness.R	3d5ca2479a34f9e603c7bb064771d9716af34983452f58859407fff00f465b60	e29dfb7fc9ca3e2ca8ca75692830255ecde7b3ae6a60a3f18cd9105bf129cc6a	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/fix_leading_edge_audit.R	960850f2253ef615a3376b30514853dab0eb96c554523ded03beff9c07bb2338	0c1eaf7a6cdd742b4129290f48728a827cb7df6f4c742dca434c87e652c57d55	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/freeze_msigdb_gene_sets.R	173cb0527bc8df0bd473a3fa728ce4c7587d5d2b37407d9d0ebb3e343fb587d2	81ddc34b0066f3e532e8ca979aca942b09adf36f23487899e6229bb801d8fad6	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/plot_session17_pathway_results.R	0ba3c8c86774b8de55bf364722be80613e733af06fcad36da95701c7eef67247	e232cbc726fdc5c018b130ec036f14789ace0b1fcfbb95e15dcdd064bd04af71	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/04_pathway_analysis/summarize_preregistered_domains.R	28fcd9fbfe221d8ed1c2ba89bce1560e1fe32033b6c42b838d42b009b045bd85	af8f78bb90055862c54b86baa18460707d9d966aaec429f15c6f1fdfe4ffccc1	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/build_cell_composition_cohorts.R	40e1a0d8eb37e73c5c48f96accf7015987fa135df217a473adf483313a1c002f	7f1af1eb03976bc72af20719ece77d954f1b495e0e163a078062be8ccf22076b	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/prepare_cell_composition_input.R	e92e51ae9f06d2332219022251c85cbff58a3cc2bd9765c321265ddeb5ef193e	2152241d964eca5a3595fc0039d2872afa96d005d63e97f5fb7a11205817a9d2	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/qc_mcp_counter_scores.R	0b3b2c2652ce9824cdc1826ad1d3f9e42469875ad8d271bb19f9abde65a24936	a194629953e7cf598e66966a918939cd022f62265d98bc3eb04f942be808569a	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/run_mcp_counter.R	424a4c53cc20a57ea8126187d2e74a56782e37820397931192f6b95b4535dfb0	712053ba95782ef5eb4e20cec02d3baa826f0076131f4edf27a960d7ba9880f2	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/score_representative_pathways.R	f7aaabf3b8140c74cf80427dcb7ddeba3ad2484f180e46252563a68419f3179b	0d96335a8ae0e911f8e56554455d72e13b764c2edc4875a45d20ad0af799e614	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/test_composition_adjusted_pathway_effects.R	d4e37dfdf24b6c23544d3a0a50a7908237db60fdee165da0a4a76fb52f4094d9	58154b5b0e2f8e96c617ec611391150f0081a810dc4118c95e769f29d67abcf8	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/test_interferon_gene_composition_robustness.R	c263d1c074fa0339028330f47257098390a688798656c948a9ca414a3fb39283	2d1cb436da1b9b47ffe0d9aa0af68fe18d3d6291872873098444fe139644ecb1	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/05_cellular_composition/test_mcp_counter_disease_groups.R	c2e8c4dd9b477c224b18b98604994ae865d441c3139087036dced2098789824a	3565c17712cc3647379edca2cdecbb33a998de7a4f6eb330c57ce5e06f99621e	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/prepare_GSE283746_regulatory_logCPM.R	6fcea599f719586379a78103ddacfc73ad712adc813db2a2bd0d3116b0632e07	ec14e25f07c8f53f993a09a1af565f7e2eb950f78147c01353f250dd45796119	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/run_GPL10558_TF_activity_limma.R	a0647d918797eeb1f129e0af682c680648b480703ccf93896e7401fcb9841d01	4fc6bf28faff4ec13a71c469a11cf82e9e66fb6b21bd81c08ff67738fb44451a	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/run_GPL6884_TF_activity_limma.R	0299bd4508cb35d748ab7c69464e724ba4da301069e6ed634aa4d7ff42af23cc	b29ec3f845bdbdf6c14dbaf43d213bbe71d941de3b3a3aabbe7514d5f116e451	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/run_GSE155925_TF_activity_limma.R	1b649b5d7e6cb28fc8700dbc7fa0e24ece9ca1a75c8e47924ffc05730964ec12	8fc25f5ab9144178a029b102bd35940eb86416f77b4ecfe302ad8a68f3ff4a80	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/run_GSE155925_TF_activity_unadjusted_sensitivity.R	7e87b363424f5b4b206221ef946416c3170aa14f33556cb5c87d1da9536d78a7	8dbe5c2160412aad93f02484438d5794543147bdb9c639978ae489ddfaa68f37	PUBLIC_REPOSITORY_PORTABILITY_PATCH
scripts/06_regulatory_analysis/run_GSE283746_TF_activity_limma.R	3e3d3a677725878e6c859f241c7b7b34627ed2b80397162b330072d026a78faa	14b1eb14498fcdd3703c2efea9333ebe2665df9b1fc06d393ee57e733f37e9b9	PUBLIC_REPOSITORY_PORTABILITY_PATCH
