Package	Version
abind	1.4-8
annotate	1.84.0
AnnotationDbi	1.68.0
askpass	1.2.1
assertthat	0.2.1
assorthead	1.0.0
backports	1.5.1
base	4.4.3
base64enc	0.1-6
beachmat	2.22.0
BH	1.87.0-1
Biobase	2.66.0
BiocFileCache	2.14.0
BiocGenerics	0.52.0
BiocParallel	1.40.0
BiocSingular	1.22.0
biomaRt	2.62.0
Biostrings	2.74.0
bit	4.6.0
bit64	4.8.2
blob	1.3.0
brew	1.0-10
broom	1.0.13
bslib	0.12.0
cachem	1.1.0
callr	3.7.6
cellranger	1.1.0
class	7.3-23
cli	3.6.6
clipr	0.8.1
codetools	0.2-20
colorspace	2.1-3
ComICS	1.0.4
commonmark	2.0.0
compiler	4.4.3
ConsensusTME	0.0.1.9000
cowplot	1.2.0
cpp11	0.5.5
crayon	1.5.3
crosstalk	1.2.2
curl	7.1.0
data.table	1.18.4
data.tree	1.2.0
datasets	4.4.3
DBI	1.3.0
dbplyr	2.6.0
DelayedArray	0.32.0
DelayedMatrixStats	1.28.0
desc	1.4.3
DESeq2	1.46.0
DiagrammeR	1.0.12
digest	0.6.39
downloader	0.4.1
dplyr	1.2.1
e1071	1.7-17
edgeR	4.4.0
ellipsis	0.3.3
EPIC	1.1.7
evaluate	1.0.5
fansi	1.0.7
farver	2.1.2
fastmap	1.2.0
fastmatch	1.1-8
fgsea	1.32.2
filelock	1.0.3
fontawesome	0.5.3
foreach	1.5.2
formatR	1.14
fs	2.1.0
futile.logger	1.4.9
futile.options	1.0.1
genefilter	1.88.0
generics	0.1.4
GenomeInfoDb	1.42.0
GenomeInfoDbData	1.2.13
GenomicRanges	1.58.0
ggplot2	4.0.3
ggrepel	0.9.8
glmnet	5.0
glue	1.8.1
graph	1.84.0
graphics	4.4.3
grDevices	4.4.3
grid	4.4.3
gridExtra	2.3.1
GSEABase	1.68.0
GSVA	2.0.0
gtable	0.3.6
HDF5Array	1.34.0
hexbin	1.28.6
highr	0.12
hms	1.1.4
htmltools	0.5.9
htmlwidgets	1.6.4
httpuv	1.6.17
httr	1.4.8
httr2	1.3.0
igraph	2.3.3
immunedeconv	2.1.0
influenceR	0.1.5
IRanges	2.40.0
irlba	2.3.7
isoband	0.3.0
iterators	1.0.14
jquerylib	0.1.4
jsonlite	2.0.0
KEGGREST	1.46.0
knitr	1.51
labeling	0.4.3
lambda.r	1.2.4
later	1.4.8
lattice	0.22-9
lazyeval	0.2.3
lifecycle	1.0.5
limma	3.62.1
limSolve	2.0.3
locfit	1.5-9.12
lpSolve	5.6.23
magick	2.9.1
magrittr	2.0.5
MASS	7.3-66
Matrix	1.7-5
MatrixGenerics	1.18.0
matrixStats	1.5.0
MCPcounter	1.1.0
memoise	2.0.1
methods	4.4.3
mgcv	1.9-4
mime	0.13
mMCPcounter	1.1.0
munsell	0.5.1
nlme	3.1-170
openssl	2.4.2
otel	0.2.0
parallel	4.4.3
pillar	1.11.1
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgload	1.5.3
plotly	4.12.1
plyr	1.8.9
png	0.1-9
pracma	2.4.6
preprocessCore	1.68.0
prettyunits	1.2.0
processx	3.9.0
progress	1.2.3
promises	1.5.0
proxy	0.4-29
ps	1.9.3
purrr	1.2.2
quadprog	1.5-8
quantiseqr	1.14.0
R6	2.6.1
rappdirs	0.3.4
RColorBrewer	1.1-3
Rcpp	1.1.2
RcppArmadillo	15.4.2-1
RcppEigen	0.3.4.0.2
readr	2.2.0
readxl	1.5.0
rematch	2.0.0
reshape	0.8.10
reshape2	1.4.5
rgexf	0.16.3
rhdf5	2.50.0
rhdf5filters	1.18.0
Rhdf5lib	1.28.0
rjson	0.2.23
rlang	1.3.0
rmarkdown	2.31
roxygen2	8.0.0
rprojroot	2.1.1
RSQLite	3.53.3
rstudioapi	0.19.0
rsvd	1.0.5
S4Arrays	1.6.0
S4Vectors	0.44.0
S7	0.2.2
sass	0.4.10
ScaledMatrix	1.14.0
scales	1.4.0
servr	0.33
shape	1.4.6.1
SingleCellExperiment	1.28.0
singscore	1.26.0
snow	0.4-4
SparseArray	1.6.0
sparseMatrixStats	1.18.0
SpatialExperiment	1.16.0
splines	4.4.3
statmod	1.5.2
stats	4.4.3
stats4	4.4.3
stringi	1.8.9
stringr	1.6.0
SummarizedExperiment	1.36.0
survival	3.8-9
sva	3.54.0
sys	3.4.3
tcltk	4.4.3
testit	1.1
tibble	3.3.1
tidyr	1.3.2
tidyselect	1.2.1
tinytex	0.60
tools	4.4.3
tzdb	0.5.0
UCSC.utils	1.2.0
utf8	1.2.6
utils	4.4.3
vctrs	0.7.3
viridis	0.6.5
viridisLite	0.4.3
visNetwork	2.1.4
vroom	1.7.1
withr	3.0.3
xCell	1.1.0
xfun	0.60
XML	3.99-0.23
xml2	1.6.0
xtable	1.8-8
XVector	0.46.0
yaml	2.3.12
zlibbioc	1.52.0
