gene_symbol	proteomics_architecture_class	flu_logFC	flu_FDR	rsv6884_logFC	rsv6884_FDR	rsv10558_logFC	rsv10558_FDR	flu_vs_rsv_logFC	flu_vs_rsv_FDR	iav_screen_p	iav_rank	iav_percentile	iav_validation_p	iav_combined_p	iav_combined_fdr	iav_multiple_sgrna_support	iav_primary_hit	rsv_viability_pos_rank	rsv_viability_pos_p	rsv_viability_pos_fdr	rsv_viability_pos_lfc	rsv_viability_neg_rank	rsv_viability_neg_p	rsv_viability_neg_fdr	rsv_viability_neg_lfc	rsv_viability_pos_percentile	rsv_viability_neg_percentile	rsv_early_pos_rank	rsv_early_pos_p	rsv_early_pos_fdr	rsv_early_pos_lfc	rsv_early_neg_rank	rsv_early_neg_p	rsv_early_neg_fdr	rsv_early_neg_lfc	rsv_early_pos_percentile	rsv_early_neg_percentile	iav_top1pct	iav_top5pct	iav_top10pct	rsv_viability_pos_top1pct	rsv_viability_pos_top5pct	rsv_viability_pos_top10pct	rsv_viability_neg_top1pct	rsv_viability_neg_top5pct	rsv_viability_neg_top10pct	rsv_early_pos_top1pct	rsv_early_pos_top5pct	rsv_early_pos_top10pct	rsv_early_neg_top1pct	rsv_early_neg_top5pct	rsv_early_neg_top10pct
ACOT9	shared_core	0.658343552494714	0.0002089728221633	0.528396161352498	1.08641027002839e-06	0.687182308947066	0.0271438460350742	0.129947391142216	0.515562315002271	1.0	12180.0	0.6659740827820001	0.963946529674			False	False	7066.0	0.34479	0.999999	-4.54e-08	19263.0	0.93671	0.999988	-4.54e-08	0.3378275004781029	0.9209695926563396	2065.0	0.10159	0.999997	3.4e-06	20393.0	0.98088	0.999999	3.4e-06	0.09873296677026058	0.9750418360028688	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
ACSL1	shared_core	1.10956569986628	0.0020891824039462	0.852489042785759	8.09853956668173e-05	1.62975509046972	0.0017320235636741	0.257076657080525	0.518416934787735	1.0	12188.0	0.6664115041828421				False	False	13772.0	0.66617	0.999999	-4.99e-07	9805.0	0.47586	0.999988	-4.99e-07	0.6584432969975139	0.4687798814304838	15049.0	0.72666	0.999997	-3.03e-06	11564.0	0.5714	0.999999	-3.03e-06	0.7195314367678699	0.5529046139134592	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ADM	shared_core	1.25476918311023	0.0011790335363961	1.22338665536281	1.49745675845861e-07	1.69275079403339	6.9064625579263e-05	0.031382527747418	0.95616183936203	0.80458376	8881.0	0.4855924326097654				False	False	17353.0	0.8374	0.999999	-9.02e-06	2891.0	0.12796	0.910021	-9.02e-06	0.8296519410977242	0.13821954484605087	19576.0	0.94152	0.999997	-1.24e-06	6398.0	0.3036	0.978755	-1.24e-06	0.9359789624671289	0.3059048529763328	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AIM2	shared_core	2.26530732973712	1.80046811729815e-08	1.51836213291272	3.1380265858632103e-09	1.86291696064387	0.000251172726672	0.746945196824402	0.0512915262029756	0.84988203	10524.0	0.5754278528076986				False	False	11811.0	0.57192	0.999999	-1.1e-06	13832.0	0.67966	0.999988	-1.1e-06	0.5646873207114171	0.6613119143239625	18946.0	0.91001	0.999997	4.3e-07	5362.0	0.25022	0.961929	4.3e-07	0.9058570404016256	0.25637102557972746	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ALPK1	shared_core	0.834184193812356	0.0038525937900983	0.485785838947087	0.0059138553751212	1.18559358879002	0.0045533131673268	0.348398354865269	0.212648011824634	0.58386575	3870.0	0.21160260265733502				False	False	11951.0	0.5785	0.999999	-3.99e-06	5969.0	0.28026	0.963899	-3.99e-06	0.5713807611397973	0.2853796136928667	16541.0	0.79803	0.999997	-9.32e-07	6562.0	0.31281	0.983414	-9.32e-07	0.7908677982309348	0.31374611522830503	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ANG	shared_core	0.452016058265122	0.0419640196085585	0.741771698725905	4.34202184048551e-09	0.799037284255849	0.0386988204878332	-0.289755640460783	0.146412271276865	0.69891239	5962.0	0.32598829897752746				False	False	260.0	0.01378	0.999999	1.39e-06	3739.0	0.16847	0.928784	1.39e-06	0.01243067508127749	0.17876266972652516	8619.0	0.41764	0.999997	3.59e-06	15422.0	0.76613	0.999999	3.59e-06	0.41209658140090843	0.7373655271336361	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False
ANKRD22	shared_core	1.67754479294421	0.0011880759406843	1.8162308506147	6.8104529315792e-09	1.29957716827572	0.0301807631508598	-0.138686057670488	0.846429484274032	1.0	12358.0	0.6757067089507354				False	False	3027.0	0.14815	0.999999	-3.64e-06	8499.0	0.40912	0.995408	-3.64e-06	0.14472174411933447	0.40633964429145153	14161.0	0.68528	0.999997	-3.03e-06	12194.0	0.60489	0.999999	-3.03e-06	0.6770738704279226	0.5830265359789625	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ANXA3	shared_core	1.67597152034224	0.0010524020305971	1.70938699909697	3.3059707671365e-08	2.0368949823176	0.0016208025483322	-0.0334154787547316	0.964013107500586	1.0	12385.0	0.6771830061785773				False	False	9649.0	0.46706	0.999999	8.01e-06	18536.0	0.90261	0.999988	8.01e-06	0.46132147638171733	0.8862115127175368	4798.0	0.23265	0.999997	-1.32e-07	8246.0	0.39963	0.999999	-1.32e-07	0.229404733444896	0.3942624910351422	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ARG1	shared_core	1.72548890531828	0.0012537860400866	1.93470532664422	2.3540814009336903e-09	1.56367889499355	0.0373407339371691	-0.209216421325934	0.758338847672563	0.80327716	8835.0	0.4830772595549237				False	False	4742.0	0.2304	0.999999	-5.4e-06	2119.0	0.092804	0.895919	-5.4e-06	0.2267163893669918	0.10131000191241155	13794.0	0.6686	0.999997	1.31e-06	17151.0	0.84512	0.999999	1.31e-06	0.6595266555103992	0.820033468802295	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ATG7	shared_core	0.531560612012817	0.0033645506376096	0.651554411364367	1.96657758265404e-09	0.804116027459252	0.0077261674955084	-0.11999379935155	0.552771456795925	1.0	12526.0	0.6848925583684182				False	False	18675.0	0.9011	0.999999	-9.59e-06	10835.0	0.52517	0.999988	-9.59e-06	0.8928571428571429	0.5180244788678524	9324.0	0.45122	0.999997	-1.48e-06	12334.0	0.61201	0.999999	-1.48e-06	0.4458044465694478	0.5897202964379632	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
