screen	gene_set	threshold	universe_n	set_tested_n	top_genes_n	observed_overlap_n	expected_overlap_n	odds_ratio	fisher_p_one_sided
IAV_P01	shared_170	0.01	18289	152	182	3	1.5126032041117612	2.0199467586517192	0.19317744715589835
IAV_P01	shared_170	0.05	18289	152	914	7	7.596260047022801	0.9170817017070296	0.6412663121904989
IAV_P01	shared_170	0.1	18289	152	1828	17	15.192520094045602	1.1352107491257133	0.34975655587345955
IAV_P01	shared_core_130	0.01	18289	115	182	3	1.1444037399529772	2.692787310454908	0.10721935003350383
IAV_P01	shared_core_130	0.05	18289	115	914	5	5.747170430313303	0.8633363336333634	0.686976724284778
IAV_P01	shared_core_130	0.1	18289	115	1828	13	11.494340860626606	1.1487441257494733	0.3629839633790237
IAV_P01	influenza_amplified_37	0.01	18289	35	182	0	0.34829679042047135	0.0	1.0
IAV_P01	influenza_amplified_37	0.05	18289	35	914	2	1.7491388266170922	1.1524455077086655	0.5279136521692768
IAV_P01	influenza_amplified_37	0.1	18289	35	1828	4	3.4982776532341844	1.162280701754386	0.46870898256721694
RSV_P01_viability	shared_170	0.01	20916	161	209	1	1.608768406961178	0.6173978365384616	0.8027153258464523
RSV_P01_viability	shared_170	0.05	20916	161	1045	9	8.04384203480589	1.1270003556187767	0.413696589581672
RSV_P01_viability	shared_170	0.1	20916	161	2091	19	16.09538152610442	1.2064855348306052	0.2562494851060352
RSV_P01_viability	shared_core_130	0.01	20916	123	209	0	1.2290590935169248	0.0	1.0
RSV_P01_viability	shared_core_130	0.05	20916	123	1045	5	6.145295467584624	0.8047995436766623	0.7417160516338317
RSV_P01_viability	shared_core_130	0.1	20916	123	2091	12	12.296471600688468	0.9731289731289732	0.5799393812996798
RSV_P01_viability	influenza_amplified_37	0.01	20916	36	209	1	0.35972461273666095	2.8395604395604397	0.3036050211207554
RSV_P01_viability	influenza_amplified_37	0.05	20916	36	1045	4	1.7986230636833047	2.3822046109510087	0.10328997617995528
RSV_P01_viability	influenza_amplified_37	0.1	20916	36	2091	7	3.5989672977624787	2.1770467933020052	0.06258468790572705
RSV_P02_early	shared_170	0.01	20915	161	208	1	1.6011475017929715	0.6203804347826087	0.8011849556928163
RSV_P02_early	shared_170	0.05	20915	161	1044	10	8.03652880707626	1.2630176643139868	0.2842777769800549
RSV_P02_early	shared_170	0.1	20915	161	2090	20	16.088453263208223	1.280296022201665	0.18203207987357345
RSV_P02_early	shared_core_130	0.01	20915	123	208	1	1.223236911307674	0.8151183970856102	0.7085765136390092
RSV_P02_early	shared_core_130	0.05	20915	123	1044	8	6.139708343294286	1.326573778747692	0.27191254730019015
RSV_P02_early	shared_core_130	0.1	20915	123	2090	16	12.291178579966532	1.3495435250858425	0.16549627441797035
RSV_P02_early	influenza_amplified_37	0.01	20915	36	208	0	0.3580205594071241	0.0	1.0
RSV_P02_early	influenza_amplified_37	0.05	20915	36	1044	2	1.7969878077934496	1.1198487072372134	0.5425456657159905
RSV_P02_early	influenza_amplified_37	0.1	20915	36	2090	4	3.597418120965814	1.1261385426653883	0.4910045812868785
