figure_id	figure_type	canonical_script	script_sha256	canonical_output_basename	status	notes
Figure1	Main	scripts/12_figures/main/generate_Figure1_SUBMISSION_v15.py	8020822a3fd1c12756c539a50b462e22c74bf1d3d4bbd8cc6e26fccf1fa7e3b1	Figure1_SUBMISSION_v15_study_design	CANONICAL	PDF PNG SVG
Figure2	Main	scripts/12_figures/main/generate_Figure2_SUBMISSION_v5.py	32d926cb348f2cd71cecbbe53631528647a3d69a01f1246525c1743b451b46da	Figure2_SUBMISSION_v5_influenza_centered_gene_architecture	CANONICAL	PDF PNG; canonical v5 did not export SVG
Figure3	Main	scripts/12_figures/main/generate_Figure3_SUBMISSION_v6.py	ab25e147d75ac94e1f7707cd5d3c60aa2db36f9c21e0511d54b506091d79131c	Figure3_SUBMISSION_v6_influenza_pathway_architecture	CANONICAL	PDF PNG SVG
Figure4	Main	scripts/12_figures/main/generate_Figure4_SUBMISSION_v8.py	528d7df3354dcb5ad18e18b008aa2f8f4e436d36acf47d36212d1768991ee7cd	Figure4_SUBMISSION_v8_influenza_cellular_context	CANONICAL	PDF PNG SVG
Figure5	Main	scripts/12_figures/main/generate_Figure5_SUBMISSION_v14.py	41e8ad9da88ad4283c1ab18da7cf7fecbe88062efe64794c23cf248f76733322	Figure5_SUBMISSION_v14_influenza_regulatory_architecture	CANONICAL	PDF PNG SVG
Figure6	Main	scripts/12_figures/main/generate_Figure6_SUBMISSION_v9.py	d5a3d2bfc980b70ccefc33e8a8b78d62439a9eda242c9200f378210dec0be979	Figure6_SUBMISSION_v9_influenza_multiseason_validation	CANONICAL	PDF PNG SVG
Figure7	Main	scripts/12_figures/main/generate_Figure7_SPLIT_v3.py	b4843970ef009c4d3d7dac8b4555ead8173dbb520d4263c929e43d79b3c51f41	Figure7_SUBMISSION_SPLIT_v3_influenza_multilayer_integration	CANONICAL	Session42 split version; supersedes Session41 Figure7 v14
Figure8	Main	scripts/12_figures/main/generate_Figure8_TWO_PANEL_v2.py	80325808266889949e1e4b195870dbfe1169185af6540daa7726dddeac7e367e	Figure8_SUBMISSION_v2_cellular_seasonal_context	CANONICAL	Session42 two-panel version; supersedes Session41 Figure8 v15
FigureS1	Supplementary	scripts/12_figures/supplementary/generate_FigureS1_discovery_QC_v6.py	db1576dcc7ed35c6b2da1378580a80c22f6f44adb9e1b5f6d81b840f5b7d89bb	FigureS1_v6_discovery_postcollapse_QC	CANONICAL	PDF PNG SVG
FigureS2	Supplementary	scripts/12_figures/supplementary/generate_FigureS2_DE_robustness_v4.py	e324670a2c9ecb3fd84cccea29bcca006fadecabed9c5be77bc1708037bdf53e	FigureS2_v4_differential_expression_robustness	CANONICAL	PDF PNG SVG
FigureS3	Supplementary	scripts/12_figures/supplementary/generate_FigureS3_signature_robustness_v10.py	95e07d264bf505ff991835392e406a84ef097c9acfd5bedd6353d52d21976c69	FigureS3_v10_influenza_amplified_architecture	CANONICAL	PDF PNG SVG
FigureS4	Supplementary	scripts/12_figures/supplementary/generate_FigureS4_influenza_pathways_v4.py	43a4d031d9880b002e6a71fa7bbc33f3c52f24858e0d7b5f0ac970c089e93f06	FigureS4_v4_extended_influenza_pathway_architecture	CANONICAL	PDF PNG SVG
FigureS5	Supplementary	scripts/12_figures/supplementary/generate_FigureS5_composition_robustness_v14.py	9204e94128637639f51cdcfe6fc854f9acf518972cfa013f85b9121c5241427c	FigureS5_v14_influenza_composition_robustness	CANONICAL	PDF PNG SVG
FigureS6	Supplementary	scripts/12_figures/supplementary/generate_FigureS6_regulatory_architecture_v11.py	23535074969c27b9d7836cc81cb8f99bf75859a9f51e44a8450928fb2fa9a3eb	FigureS6_v11_extended_regulatory_architecture	CANONICAL	PDF PNG SVG
FigureS7	Supplementary	scripts/12_figures/supplementary/generate_FigureS7_crispr_functional_convergence_v9.py	36c50a47fe396760855665f98a31703f7862cacf149a5c57ad2d64e869949d7c	FigureS7_v9_crispr_functional_convergence	CANONICAL	PDF PNG SVG
FigureS8	Supplementary	scripts/12_figures/supplementary/generate_FigureS8_proteomic_validation_v7.py	f10c85ea7718e209b0c662254a2c0c4a49be1dd9107a58345a5e283eae7248d7	FigureS8_v7_proteomic_validation	CANONICAL	PDF PNG SVG
FigureS9	Supplementary	scripts/12_figures/supplementary/generate_Supplementary_Figure_S9_v2.py	4ee5af0e5c77490e792dc7dde9073bc4afe45a2117e0746cdef8c4dd843fdfd2	Supplementary_Figure_S9_v2_evidence_weighted_priority_robustness	CANONICAL	Manuscript S9; historically Session39 S11
FigureS10	Supplementary	scripts/12_figures/supplementary/generate_Supplementary_Figure_S10_MANUSCRIPT.py	f7a8c927a5ea191996b41920933b3770b109d1ab47d17c6704288849b2fd4209	Supplementary_Figure_S10_molecular_functional_convergence_robustness	CANONICAL	Manuscript S10; historically Session39 S12
FigureS11	Supplementary	scripts/12_figures/supplementary/generate_Supplementary_Figure_S11_MANUSCRIPT.py	d3bedd8489eb3e5f27aea379c2f46e6ac10ce3b88bbc8cce526213cdab01a8ee	Supplementary_Figure_S11_single_cell_localization_robustness	CANONICAL	Manuscript S11; historically Session39 S13
